adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oIJenVsuK42zgfJd8E1hZqId3s5.jpg,"[53, 9648, 27, 80]",524251,en,I See You,"When a 12-year-old boy goes missing, lead investigator Greg Harper struggles to balance the pressure of the investigation and troubles with his wife, Jackie. Facing a recent affair, great strain is put on the family that slowly gnaws away at Jackie's grip on reality. But after a malicious presence manifests itself in their home and puts their son, Connor, in mortal danger, the cold, hard truth about evil in the Harper household is finally uncovered.",28.838,/2LwamrHAmxqEHsT9JViFJxT08Ek.jpg,2019-09-11,I See You,False,7.0,1135
False,/cheDSO3mYmsAFQlRM91o7MK6Wcc.jpg,[35],505600,en,Booksmart,"Two academic teenage superstars realize, on the eve of their high school graduation, that they should have worked less and played more. Determined to never fall short of their peers, the girls set out on a mission to cram four years of fun into one night.",18.348,/micaVOa1UZsdzs4fKGA67ZMGOzc.jpg,2019-05-24,Booksmart,False,7.0,2258
False,/aEGiJJP91HsKVTEPy1HhmN0wRLm.jpg,"[28, 12]",335787,en,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",160.884,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022-02-10,Uncharted,False,7.0,4458
False,/3uuJ0soyZrS1klK5r2DXm8M5k7F.jpg,[35],56975,it,Pensavo fosse amore invece era un calesse,"Tommaso goes incredible lengths to win back the love of his former girlfriend Cecilia, but sometimes things change in the most unexpected way.",4.311,/klLPGlWdJWqAeXJhfRyAJOYzeEd.jpg,1991-12-20,I Thought It Was Love,False,7.0,209
False,/9CkI4VsYF8qJWfZpPqwZnBctb3M.jpg,[18],50270,it,Paprika,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.",54.17,/jwlo74haG1XNmp5IdSJ5Gy3KuIm.jpg,1991-02-13,Paprika,False,7.0,327
False,/jAWu7vxLOIiDwskIXnF8zqtCnRw.jpg,"[18, 9648, 10749]",26748,en,Lone Star,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town.",9.068,/lBxY8znsRoqa9Dy2NCe8I6GPsRm.jpg,1996-06-21,Lone Star,False,7.0,278
False,/6xB23vOk2EpYDK2CSIen1RAlxYV.jpg,"[10402, 36, 18]",12545,en,Jesus Christ Superstar,"Recounts the last days of Jesus Christ from the perspective of Judas Iscariot, his betrayer. As Jesus' following increases, Judas begins to worry that Jesus is falling for his own hype, forgetting the principles of his teachings and growing too close to the prostitute Mary Magdalene. After Jesus has an outburst in a temple, Judas turns on him.",16.183,/2NQgIjHxYyMJZWeUFH5cuKhN4nh.jpg,1973-08-15,Jesus Christ Superstar,False,7.0,484
False,/l6RKD2IjmGvtauSvx1xs2UY6CqU.jpg,[18],10868,en,The Accused,"After a young woman suffers a brutal rape in a bar one night, a prosecutor assists in bringing the perpetrators to justice, including the ones who encouraged and cheered on the attack.",17.909,/5DlWHYb5Q65GaHYHDo6PqGOuoF1.jpg,1988-10-14,The Accused,False,7.0,470
False,/novvibtQv0B4psRxuqvd8g2qS5M.jpg,"[18, 10749]",8293,en,Howards End,"A saga of class relations and changing times in an Edwardian England on the brink of modernity, the film centers on liberal Margaret Schlegel, who, along with her sister Helen, becomes involved with two couples: wealthy, conservative industrialist Henry Wilcox and his wife Ruth, and the downwardly mobile working-class Leonard Bast and his mistress Jackie.",14.091,/1009nhfj28VhhQnVadtjkOacduX.jpg,1992-03-13,Howards End,False,7.0,427
False,/99uGRUGS2qxNvPARiM8dkuTrUnW.jpg,"[80, 28, 37]",5698,en,The Great Train Robbery,"After the train station clerk is assaulted and left bound and gagged, then the departing train and its passengers robbed, a posse goes in hot pursuit of the fleeing bandits.",10.584,/vEYr1sJR1dOFGXwXawpBN6hDRGF.jpg,1903-12-07,The Great Train Robbery,False,7.0,513
False,/t2F7D7NfbdAk2vhkfAE8N1NJNxH.jpg,"[18, 10749]",408508,en,Blue Jay,"Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.",9.836,/o5hdBcCUHRTnav6KVwtowZkYVZp.jpg,2016-10-07,Blue Jay,False,7.0,401
False,/XJ2DbgKScoZ1B9fmOgH8jQ5PjD.jpg,"[28, 878]",327029,en,Power Rangers,"The Machine Empire defeats the Power Rangers in battle, destroying the Megazord. It is revealed that Earth's governments then negotiate a truce with the Machine Empire and the Power Rangers are disbanded.  Years later, Rocky, the second Red Ranger has defected to the Machine Empire, is critical of Zordon's use of Power Rangers as child soldiers, and now sports a prosthetic leg. He interrogates a restrained Kimberly, the former Pink Ranger, about the location of Tommy Oliver, the former Green Ranger. He details the fates of the other Rangers in flashback.",12.354,/yBOMeXHRdrtcu4vJb91ljqHNYup.jpg,2015-02-24,Power Rangers,False,7.0,201
False,/jRZ3joUcg8YDCQYl4Tog5xhY6wk.jpg,"[28, 53]",36955,en,True Lies,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used car salesman while terrorists smuggle nuclear war heads into the United States.",33.759,/pweFTnzzTfGK68woSVkiTgjLzWm.jpg,1994-07-15,True Lies,False,7.0,3458
False,/jrudoaXcoLyHRPdolyOGemXgPEs.jpg,"[36, 18]",369972,en,First Man,"A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.",20.937,/i91mfvFcPPlaegcbOyjGgiWfZzh.jpg,2018-10-10,First Man,False,7.0,4709
